,Movie,Year,Genre,Rating,Url,Synopsis,Downloads
0,Heart is... 2,2010,AdventureComedy,6.4 / 10,https://yts.rs/movie/heart-is-2-2010," When lovable Labrador Maeumee has a set of puppies, Dong-Wook's grades start to suffer. Because of this, Dong-Wook's mother decides to get rid of Maeumee and the puppies. The dogs then stay at a relative's video shop until the animals can be placed into an animal training center. Meanwhile, two unscrupulous jewel thieves come into the video store and spots the little puppies. Hyeok-Pil decides to steal the littlest puppy to use as a runner to transport diamonds. Maeumee spots the two men taking away her young puppy and goes after the thieves! Can Maeumee save her puppy? Will Dong-Wook ever get to see Maeumee and the puppies again? —Stanislav S, Sochi, Russia ",2424
1,WWE Royal Rumble,2022,ActionSport,5.4 / 10,https://yts.rs/movie/wwe-royal-rumble-2022," The 2022 Royal Rumble was the 35th annual Royal Rumble professional wrestling live event produced by WWE. It was held for wrestlers from the promotion's RAW and SmackDown brand divisions. ",8282
2,Little Bikes,2020,Drama,6.6 / 10,https://yts.rs/movie/little-bikes-2020," Juliana and Lautaro live in a poor neighborhood surrounded by policemen. They are in love, and they are facing an unwanted pregnancy. They don't know what to do. Who will they turn to avoid illegality and abandonment? Juliana's mother, Flor, notice what is going on and decides to take action. Afterward, the teenagers will meet again. ",2424
3,The Execution,2021,Thriller,6.8 / 10,https://yts.rs/movie/the-execution-2021," The thriller is inspired by the case of an infamous Soviet-era serial killer who eluded police for a decade. ",6565
4,Wyrmwood: Apocalypse,2021,Action,5.6 / 10,https://yts.rs/movie/wyrmwood-apocalypse-2021," In a zombie-infested Australian wasteland, soldier Rhys has dedicated his life to tracking and capturing survivors for the Surgeon General in hopes of finding a cure. ",56964
5,The Hairdresser's Husband,1990,ComedyDrama,7.2 / 10,https://yts.rs/movie/the-hairdressers-husband-1990," Twelve-year-old Antoine falls profoundly in love with a voluptuous but suicidal hairdresser, a formative experience he never forgets. Much later in life, he seeks to repeat his romance by marrying Mathilde - also voluptuous and also a hairdresser - with whom he forms an intimate and consuming relationship in an attempt to blot out the miseries of this world from their lives. —Jasha ",7272
6,Just 6.5,2019,ActionCrime,8 / 10,https://yts.rs/movie/just-6-5-2019," In this high-octane thriller, detective Samad (Payman Maadi) goes on a relentless hunt to track down drug kingpin Nasser (Navid Mohammadzadeh). Samad hopes that the arrest of Nasser will help control the escalating problem of drug addiction that is wreaking havoc in the city. However, Samad's quest for Nasser leads him down a path rife with corruption and shifting morality, one where Samad can't trust anyone. —Anonymous ",6161
7,Great Freedom,2021,Drama,7.7 / 10,https://yts.rs/movie/great-freedom-2021," In post-war Germany, not everybody can enjoy freedom. Hans, a man who undergoes repeated prison time as he keeps being punished for his desires, experiences its passage differently from his recurring cellmate Viktor, a convicted murderer in it for the long haul. We begin in 1968, with Hans again arriving in prison. Viktor, an amateur tattoo artist, offers to cover up the camp number on Hans' forearm. Over time, the two men will exchange moments of exposure and need. Their bond is shadowed throughout by Viktor's deep-rooted homophobia and Paragraph 175, which criminalizes homosexuality. Despite all this, Hans and Viktor develop an unlikely bond. —Frank Liesenborgs ",4545
8,Nr. 10,2021,Thriller,6.8 / 10,https://yts.rs/movie/nr-10-2021," Günter, found in a German forest as a four-year old, grows up in a foster family. Four decades later, he leads a normal life: he earns a living as a stage actor, spends time with his daughter Lizzy, and has an affair with a married woman. He doesn't start wondering about his origins until a stranger on a bridge whispers a single word in his ear. ",4141
9,Seal of Desire,2022,RomanceThriller,3.6 / 10,https://yts.rs/movie/seal-of-desire-2022," An attractive psychologist who specializes in couples therapy uses his intuitive skills to expose cheating spouses and seduce their heart-broken wives. But the player becomes a pawn when he meets a woman capable of beating him at his own game and the lines between love and trust, passion and obsession become blurred. ",13231
